PP_ID,PAYER_ID,PLAN_NAME,"PLAN_TYPECommercial,Medicare,Medicaid ","PLAN_SUB_TYPEHMO,PPO,etc ","PLAN_CATEGORYIndividual,Group,Small Group, Large Group, Employee Based, etc ",STATE_NAME,Mailing_Address1- ,Mailing_Address2,Mailing_City ,Mailing_State ,Mailing_Zip ,MAIN_FAX ,Main_Phone,Prior Authorization_FAX ,CLAIMS_PHONE ,
,Cigna Healthcare,Individual and Family Plan -  Cigna Premiere 5 Tier,Individual and Family Plan,PPO,Individual,Arizona,PO Box 182223,,Chattanooga,Tennessee,37422-7223,"1-630-649-5674	",1-800-668-3813,1-866-873-8279,1-623-277-1000,
,Cigna Healthcare,Individual and Family Plan -  Cigna Premiere 4 Tier,Individual and Family Plan,PPO,Individual,Arizona,PO Box 182223,,Chattanooga,Tennessee,37422-7223,1-877-724-3859,1-800-668-3813,1-866-873-8279,1-303-782-1500,
,Cigna Healthcare,Employer Plans-Cigna Healthcare Standard 3-Tier,Commercial,EPO,Employer Group,Arizona,PO Box 182223,,Chattanooga,Tennessee,37422-7223,1-866-873-8279,1-800-668-3813,1-866-873-8279, 1-954 514-6600,
,Cigna Healthcare,Employer Plans-Cigna Healthcare Standard 4-Tier,Commercial,EPO,Employer Group,Arizona,PO Box 182223,,Chattanooga,Tennessee,37422-7223,1-866-873-8279,1-800-668-3813,1-866-873-8279, 1-404 443-8800,
,Cigna Healthcare,Employer Plans-Cigna Healthcare Value 3-Tier,Commercial,EPO,Employer Group,Arizona,PO Box 182223,,Chattanooga,Tennessee,37422-7223,1-866-873-8279,1-800-668-3813,1-866-873-8279,1-312-648-2464,
,Cigna Healthcare,Employer Plans-Cigna Healthcare Value 4-Tier,Commercial,EPO,Employer Group,Arizona,PO Box 182223,,Chattanooga,Tennessee,37422-7223,1-866-873-8279 , 1-800-882-4462,1-866-873-8279 , 1-800-882-4462,
,Cigna Healthcare,Employer Plans-Cigna Healthcare Performance 3-Tier,Commercial,EPO,Employer Group,Arizona,PO Box 182223,,Chattanooga,Tennessee,37422-7223,1-866-873-8279,1-800-668-3813,1-866-873-8279, 1-800-668-3813,
,Cigna Healthcare,Employer Plans-Cigna Healthcare Performance 4-Tier,Commercial,EPO,Employer Group,Arizona,PO Box 182223,,Chattanooga,Tennessee,37422-7223,1-866-873-8279,1-800-668-3813,1-866-873-8279,1-704-540-2100,
,Cigna Healthcare,Employer Plans-Cigna Healthcare Advantage 3-Tier,Commercial,EPO,Employer Group,Arizona,PO Box 182223,,Chattanooga,Tennessee,37422-7223,1-855-695-2717,1-800-668-3813,1-866-873-8279,1-423-763-6600,
,Cigna Healthcare,Employer Plans-Cigna Healthcare Advantage 4-Tier ,Commercial,EPO,Employer Group,Arizona,PO Box 182223,,Chattanooga,Tennessee,37422-7223,1-855-695-2717,1-800-668-3813,1-866-873-8279,1-866-244-8081,
