Payer_ID,Payer_Name,State_Name,Mailing_Address1,Mailing_Address2,Mailing_City,Mailing_State,Mailing_Zip,FAX,Main_Phone,BV_Phone,Claims_Phone,
,Aetna,Alabama,PO Box 14088,,Lexington,Kentucky,40512-4088,1-877-269-9916,1-833-859-6031,1-800-872-3862,1-877-269-9916,
,Aetna,Alaska,101 E. Main St,,Louisville,Kentucky,40202,1-866-298-8304,1-833-704-1024,1-800-457-4708 ,1-800-594-5309,
,Aetna,Arizona,PO Box 14079,,Lexington,Kentucky,40512-4079,1-833-596-0339,1-800-872-3862,1-866-224-4059,1-888-632-3862,
,Aetna,Arkansas,PO Box 14088,,Lexington,Kentucky,40512,1-877-269-9916,1-800-872-3862,1-800-624-0756,1-877-269-9916,
,Aetna,California,PO Box 14079,,Lexington,Kentucky,40512-4079,1-888-258-4528,1-800-872-3862,1-800-777-2227,1-888-632-3862,
,Aetna,Colorado,PO Box 981106,,El Paso,Texas,79998-1106,1-877-822-5246,1-800-872-3862,1-866-224-4059,1-888-632-3862,
,Aetna,Connecticut,151 Farmington Avenue,,Hartford,Connecticut,06156,1-888-267-3277,1-800-872-3862,1-800-624-0756,1-888-267-3277,
,Aetna,Florida,PO Box 14079,,Lexington,Kentucky,40512-4079,1-888-684-4928,1-800-872-3862,1-888-305-2842,1-888-632-3862,
,Aetna,Georgia,PO Box 14079,,Lexington,Kentucky,40512-4079,1-877-822-5246,1-800-872-3862,1-866-224-4059,1-888-632-3862,
,Aetna,Illinois,PO Box 981106,,El Paso,Texas,79998-1106,1-859-455-8650,1-800-872-3862,1-866-224-4059,1-888-632-3862,
,Aetna,Indiana,PO Box 981106,,El Paso,Texas,79998-1106,1-877-822-5246,1-800-872-3862,1-866-224-4059,1-888-632-3862,
,Aetna,Maryland,PO Box 981106,,El Paso,Texas,79998-1106,1-866-361-8495,1-800-872-3862,1-866-224-4059,1-888-632-3862,
,Aetna,Massachusetts,PO Box 981106,,El Paso,Texas,79998-1106,1-877-822-5246,1-800-872-3862,1-866-224-4059,1-888-632-3862,
